TOP_STATES;NUMBER_CERTIFIED_APPLICATIONS;PERCENTAGE
CA;104070;18.269240896978122%
TX;59694;10.479139676219969%
NY;51293;9.004364113853166%
NJ;43174;7.579092980552835%
IL;31270;5.489374102512789%
GA;22229;3.9022480628320046%
MA;21644;3.7995527046621937%
PA;21141;3.7112522513982364%
WA;20387;3.578889345312703%
FL;18684;3.279931747085032%
